,timestamp,label,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
0,1,music,0.22773994505405426,0.44829076528549194,2223.781617720141,2689.2646718702863,5149.861283735795,0.08948863636363637,-27.435449600219727,100.2924575805664,4.3974995613098145,12.377527236938477,17.93626594543457,17.969493865966797,10.13637638092041,-0.050244081765413284,-0.5258825421333313,14.02010726928711,3.8698570728302,4.719688892364502,-3.787386894226074,-2.39268159866333,-1.4886873960494995,-1.1536246538162231,-4.0299577713012695,3.9513375759124756,-2.84195876121521,-0.6067405939102173
1,2,music,0.22554263472557068,0.4261920154094696,2400.851203298609,2797.264065226595,5750.588711825284,0.09369451349431818,-14.219888687133789,94.4411849975586,6.697068691253662,12.615314483642578,16.37056541442871,20.72766876220703,8.03393840789795,-6.169868469238281,-5.804591178894043,16.453880310058594,6.497992992401123,6.494409561157227,0.6112871766090393,4.800422668457031,-3.3444936275482178,-8.676580429077148,-8.647028923034668,1.257228970527649,-4.032942295074463,8.103981971740723
2,3,music,0.21811269223690033,0.4509044885635376,2194.816876496157,2732.52450583432,5245.537220348011,0.07743696732954546,-41.000057220458984,100.23651885986328,15.005398750305176,16.778947830200195,15.983133316040039,17.865922927856445,8.17215633392334,2.677159547805786,-3.3349311351776123,12.122783660888672,3.761909246444702,5.51217794418335,-1.2733893394470215,-1.4181277751922607,-1.6283763647079468,-2.649548053741455,-4.359280586242676,-2.402040719985962,-5.200919151306152,1.657219648361206
3,4,music,0.2387026846408844,0.3924963176250458,2184.4806799583944,2595.2331127301095,4839.58740234375,0.08993252840909091,-11.164619445800781,104.1927719116211,-1.295158863067627,8.071982383728027,14.505932807922363,21.417085647583008,8.734541893005371,-5.905270099639893,-7.861114501953125,13.820935249328613,6.5236358642578125,5.692047595977783,1.2504549026489258,1.1510260105133057,-1.749578595161438,-1.3615504503250122,-6.608152389526367,7.024916172027588,-3.176866292953491,3.080749750137329
4,5,music,0.23620539903640747,0.3852539658546448,2484.4706203327437,2775.325110968908,5716.820734197443,0.095947265625,-7.113749980926514,89.33879089355469,3.9368441104888916,17.131561279296875,10.23642349243164,22.833799362182617,12.537271499633789,-13.414855003356934,-11.264229774475098,17.38262939453125,10.826379776000977,10.272810935974121,-0.6573887467384338,3.5929758548736572,-0.22577285766601562,-0.7916622161865234,-5.597324848175049,-1.5457295179367065,-9.132391929626465,7.18558931350708
5,6,music,0.2290637493133545,0.4272923767566681,2674.053078008776,2792.358898372372,5998.220547762784,0.1090087890625,5.22797966003418,83.87620544433594,2.1582210063934326,16.979978561401367,3.054558515548706,16.908924102783203,7.804351806640625,-7.581843852996826,-10.201358795166016,14.885848045349121,10.555744171142578,13.307127952575684,-1.4433302879333496,2.4589672088623047,1.485294222831726,2.2065930366516113,-8.56383228302002,-2.8189635276794434,-9.531744003295898,6.0915913581848145
6,7,music,0.2199617326259613,0.4592425525188446,2374.701017086777,2759.2819487777615,5697.979181463068,0.0743408203125,-36.149295806884766,85.16057586669922,18.66606903076172,36.00197982788086,12.700167655944824,18.621875762939453,3.0259451866149902,4.357726097106934,-2.704047918319702,8.843448638916016,-0.04829350486397743,5.972578048706055,-1.3490633964538574,0.9827345013618469,-6.820465087890625,-3.7492730617523193,-2.4841513633728027,2.3607239723205566,-0.33650776743888855,4.939423084259033
7,8,music,0.2118351310491562,0.38778993487358093,2384.131221551417,2697.318716226,5556.055797230114,0.09885475852272728,-48.92009353637695,85.69866180419922,13.777148246765137,31.035734176635742,12.950980186462402,15.685342788696289,-0.09638703614473343,3.803985834121704,-0.9633913636207581,2.691899538040161,-6.737785339355469,-0.4299612045288086,-0.8127552270889282,2.470411777496338,-4.518281936645508,-4.232883453369141,-5.530496120452881,1.4113413095474243,-1.8536261320114136,-0.23496967554092407
8,9,music,0.19193726778030396,0.3619312644004822,2431.870850145324,2710.378951832762,5635.826526988636,0.08278586647727272,-67.22698211669922,82.58306121826172,4.9478840827941895,26.60875701904297,12.841885566711426,11.261798858642578,-3.0700995922088623,0.4166923761367798,-5.196568012237549,2.914442300796509,-2.7300169467926025,4.418498992919922,-0.13831797242164612,-1.0287808179855347,-10.896422386169434,-6.772775173187256,-5.002578258514404,-2.2876431941986084,-3.624222755432129,-3.6156721115112305
9,10,music,0.22955375909805298,0.3539968430995941,2026.6209691115598,2550.9909634553196,4839.832097833807,0.05971457741477273,-63.35546875,99.96831512451172,17.932329177856445,37.61211013793945,19.800655364990234,12.307882308959961,2.514294147491455,6.329283237457275,-5.232502460479736,1.0874948501586914,-4.761632919311523,3.0948173999786377,3.1552376747131348,5.006225109100342,-1.334502100944519,0.48282840847969055,0.7617567181587219,-1.9543579816818237,-3.740680456161499,-0.22139421105384827
